Deals
Deal ID,Order ID,Symbol,Opening Direction,Closing Direction,Opening time (UTC+8),Closing Time (UTC+8),Entry price,Closing price,Closing Quantity,Commissions,Pips,Net USD,Channel,Balance USD
DID314361394,355235557,NatGas,Sell,Buy,17 Aug 2026 08:00:47.640,17 Aug 2026 08:10:30.226,2.678,2.682,4.39 Lots,0.00,-0.4,-175.60,openapi_cbot-t,46 050.87
DID314360710,355218812,US30,Buy,Sell,17 Aug 2026 06:18:26.464,17 Aug 2026 08:07:01.301,53786.0,53764.6,4.2 Lots,0.00,-21.4,-89.88,openapi_cbot-t,46 226.47
DID314359940,355236192,BTCUSD,Buy,Sell,10 Aug 2026 21:34:27.213,17 Aug 2026 08:03:33.295,64743.91,62854.96,0.38 Lots,0.00,-18889.5,-770.88,openapi_Tradingview,46 316.35
DID314349010,355219180,USDJPY,Buy,Sell,17 Aug 2026 06:21:03.073,17 Aug 2026 06:23:05.526,159.358,159.323,2.2 Lots,-15.40,-3.5,-63.73,openapi_cbot-t,47 087.23
DID314348698,355218824,US30,Buy,Sell,17 Aug 2026 06:18:26.464,17 Aug 2026 06:18:39.665,53786.0,53784.3,4.1 Lots,0.00,-1.7,-6.97,openapi_cbot-t,47 150.96
DID313989999,354372543,JPN225,Buy,Sell,12 Aug 2026 16:24:36.442,13 Aug 2026 22:13:22.018,67798.3,69107.9,0.8 Lots,0.00,1309.6,655.39,openapi_Tradingview,47 157.93
DID313969660,354686405,NatGas,Buy,Sell,13 Aug 2026 21:12:52.559,13 Aug 2026 21:13:59.109,2.764,2.756,0.6 Lots,0.00,-0.8,-48.00,openapi_Tradingview,46 502.54
DID313953010,354400504,NatGas,Buy,Sell,12 Aug 2026 18:49:01.963,13 Aug 2026 19:48:34.595,2.814,2.772,0.6 Lots,0.00,-4.2,-246.60,openapi_Tradingview,46 550.54
DID313782835,354372544,JPN225,Buy,Sell,12 Aug 2026 16:24:36.489,12 Aug 2026 21:05:48.574,67798.3,68651.4,2 Lots,0.00,853.1,1 074.16,openapi_Tradingview,46 797.14
DID313581107,354173971,NatGas,Buy,Sell,06 Aug 2026 18:35:42.688,11 Aug 2026 19:16:19.900,2.691,2.771,0.19 Lots,0.00,8.0,160.55,openapi_Tradingview,45 722.98
DID313404795,353724077,LLY.US,Buy,Sell,07 Aug 2026 21:32:37.960,10 Aug 2026 21:31:33.855,1168.71,1200.24,43.6 Lots,-1.74,315.3,1 347.02,openapi_cbot-t,45 562.43
DID313216102,353723883,LLY.US,Buy,Sell,07 Aug 2026 03:57:23.864,07 Aug 2026 21:32:15.382,1188.97,1174.54,7.9 Lots,-0.32,-144.3,-115.89,openapi_cbot-t,44 215.41
DID313215918,353723694,JPM.US,Sell,Buy,07 Aug 2026 03:53:22.372,07 Aug 2026 21:31:57.689,355.86,355.68,26.6 Lots,-1.06,1.8,3.99,openapi_cbot-t,44 331.30
DID313215917,353723693,AVGO.US,Sell,Buy,07 Aug 2026 03:57:15.535,07 Aug 2026 21:31:57.454,421.47,427.70,22.4 Lots,-0.90,-62.3,-140.20,openapi_cbot-t,44 327.31
DID313202221,353615899,JPYX,Buy,Sell,07 Aug 2026 09:32:04.198,07 Aug 2026 20:35:07.575,681.5,683.2,8 Lots,0.00,1.7,8.67,openapi_cbot-t,44 467.51
DID313174079,353615268,AUDUSD,Sell,Buy,07 Aug 2026 09:29:05.838,07 Aug 2026 16:55:59.746,0.70287,0.70388,0.43 Lots,-3.02,-10.1,-46.45,openapi_cbot-t,44 458.84
DID313165150,353660496,JPN225,Buy,Sell,07 Aug 2026 15:40:46.607,07 Aug 2026 15:40:53.453,65702.6,65690.6,0.5 Lots,0.00,-12.0,-3.79,openapi_Tradingview,44 505.29
DID313161899,353518664,GER40,Sell,Buy,06 Aug 2026 21:48:07.230,07 Aug 2026 15:02:27.355,26173.6,26250.4,5.1 Lots,0.00,-76.8,-452.59,openapi_cbot-t,44 509.08
DID313130202,353599207,US30,Sell,Buy,07 Aug 2026 07:27:32.648,07 Aug 2026 09:31:39.687,53908.9,53885.1,4.2 Lots,0.00,23.8,99.96,openapi_cbot-t,44 961.67
DID313130190,353615739,9618.HK,Buy,Sell,06 Aug 2026 15:58:41.669,07 Aug 2026 09:31:33.137,127.210,127.490,317 Lots,-15.44,28.0,-4.84,openapi_cbot-t,44 861.71
DID313127290,353577770,XPTUSD,Sell,Buy,07 Aug 2026 02:24:44.036,07 Aug 2026 09:08:02.364,1727.77,1740.25,0.36 Lots,0.00,-124.8,-445.86,openapi_cbot-t,44 866.55
DID313115796,353596855,Copper,Buy,Sell,07 Aug 2026 04:52:21.757,07 Aug 2026 06:52:30.475,6.7826,6.7815,0.05 Lots,0.00,-1.1,-0.32,openapi_cbot-t,45 312.41
DID313115795,353596854,JPYX,Buy,Sell,07 Aug 2026 06:22:25.616,07 Aug 2026 06:52:30.241,681.0,680.1,13 Lots,0.00,-0.9,-7.38,openapi_cbot-t,45 312.73
DID313115794,353596853,VIX,Sell,Buy,07 Aug 2026 04:52:12.505,07 Aug 2026 06:52:29.867,16.68,16.87,100 Lots,0.00,-1.9,-15.90,openapi_cbot-t,45 320.11
DID313115574,353596492,USDCAD,Sell,Buy,07 Aug 2026 06:14:17.028,07 Aug 2026 06:45:20.624,1.40153,1.40143,0.09 Lots,-0.64,1.0,0.00,openapi_cbot-t,45 336.01
DID313115477,353596365,NZDUSD,Sell,Buy,07 Aug 2026 06:10:16.280,07 Aug 2026 06:41:50.791,0.58667,0.58683,0.16 Lots,-1.12,-1.6,-3.68,openapi_cbot-t,45 336.01
DID313115378,353596208,NAS100,Buy,Sell,07 Aug 2026 04:36:35.480,07 Aug 2026 06:37:20.318,29369.6,29414.2,0.3 Lots,0.00,44.6,11.90,openapi_cbot-t,45 339.69
DID313115271,353595414,ADAUSD,Buy,Sell,07 Aug 2026 06:22:41.367,07 Aug 2026 06:32:57.076,0.2061,0.2012,25 Lots,0.00,-4.9,-12.25,openapi_cbot-t,45 327.79
DID313115124,353595768,US2000,Sell,Buy,07 Aug 2026 04:25:29.447,07 Aug 2026 06:28:08.402,2997.8,2999.4,3.1 Lots,0.00,-1.6,-4.67,openapi_cbot-t,45 340.04
DID313115123,353595767,US30,Sell,Buy,07 Aug 2026 04:25:19.933,07 Aug 2026 06:28:08.186,53898.0,53930.3,0.1 Lots,0.00,-32.3,-3.06,openapi_cbot-t,45 344.71
DID313114676,353595270,XAUUSD,Buy,Sell,07 Aug 2026 04:18:57.956,07 Aug 2026 06:20:34.630,4244.72,4240.33,0.02 Lots,-0.14,-43.9,-10.55,openapi_cbot-t,45 347.77
DID313114605,353595182,AUDUSD,Buy,Sell,07 Aug 2026 05:33:04.425,07 Aug 2026 06:18:32.856,0.70326,0.70314,0.13 Lots,-0.92,-1.2,-2.48,openapi_cbot-t,45 358.32
DID313114264,353594591,GBPUSD,Sell,Buy,07 Aug 2026 05:21:08.201,07 Aug 2026 06:09:17.314,1.34471,1.34506,0.07 Lots,-0.50,-3.5,-2.95,openapi_cbot-t,45 360.80
DID313113943,353594066,XPDUSD,Buy,Sell,07 Aug 2026 04:40:31.498,07 Aug 2026 06:01:11.144,1374.07,1371.47,0.06 Lots,0.00,-26.0,-17.53,openapi_cbot-t,45 363.75
DID313113635,353593565,NZDUSD,Buy,Sell,07 Aug 2026 04:58:57.888,07 Aug 2026 05:31:53.122,0.58698,0.58681,0.16 Lots,-1.12,-1.7,-4.35,openapi_cbot-t,45 381.28
DID313113325,353593052,USDJPY,Buy,Sell,07 Aug 2026 04:29:27.094,07 Aug 2026 05:02:09.513,158.469,158.407,0.09 Lots,-0.64,-6.2,-3.41,openapi_cbot-t,45 385.63
DID313113237,353592869,ADAUSD,Buy,Sell,07 Aug 2026 04:40:48.086,07 Aug 2026 04:58:07.869,0.2042,0.2001,25 Lots,0.00,-4.1,-10.25,openapi_cbot-t,45 389.04
DID313112897,353592391,VIX,Sell,Buy,07 Aug 2026 04:19:10.089,07 Aug 2026 04:50:51.577,16.57,16.84,100 Lots,0.00,-2.7,-27.00,openapi_cbot-t,45 399.29
DID313112896,353592390,Copper,Sell,Buy,07 Aug 2026 04:19:20.086,07 Aug 2026 04:50:51.279,6.7866,6.7829,0.05 Lots,0.00,3.7,0.37,openapi_cbot-t,45 426.29
DID313111158,353591500,USDCAD,Sell,Buy,07 Aug 2026 03:53:57.741,07 Aug 2026 04:39:15.678,1.40138,1.40166,0.09 Lots,-0.64,-2.8,-2.44,openapi_cbot-t,45 425.92
DID313111144,353591476,JPYX,Buy,Sell,07 Aug 2026 03:53:34.063,07 Aug 2026 04:38:59.106,681.1,680.2,13 Lots,0.00,-0.9,-7.38,openapi_cbot-t,45 428.36
DID313111042,353591314,NAS100,Buy,Sell,07 Aug 2026 02:29:31.085,07 Aug 2026 04:34:59.493,29425.4,29372.4,0.3 Lots,0.00,-53.0,-15.90,openapi_cbot-t,45 435.74
DID313110692,353590765,USDJPY,Buy,Sell,07 Aug 2026 03:56:53.499,07 Aug 2026 04:28:42.847,158.423,158.478,0.09 Lots,-0.64,5.5,2.48,openapi_cbot-t,45 451.64
DID313110325,353590275,US2000,Sell,Buy,07 Aug 2026 03:53:07.132,07 Aug 2026 04:24:15.190,3000.1,2998.8,3.1 Lots,0.00,1.3,4.03,openapi_cbot-t,45 449.16
DID313110085,353589927,VIX,Sell,Buy,07 Aug 2026 02:13:51.054,07 Aug 2026 04:17:32.616,16.63,16.74,100 Lots,0.00,-1.1,-11.00,openapi_cbot-t,45 445.13
DID313109948,353589686,US500,Sell,Buy,07 Aug 2026 03:57:37.814,07 Aug 2026 04:14:02.204,7712.3,7712.8,1.2 Lots,0.00,-0.5,-0.60,openapi_cbot-t,45 456.13
DID313109907,353589653,US30,Sell,Buy,07 Aug 2026 03:56:58.885,07 Aug 2026 04:13:49.336,53915.0,53935.0,0.1 Lots,0.00,-20.0,-2.00,openapi_cbot-t,45 456.73
DID313108919,353588165,MSFT.US,Buy,Sell,07 Aug 2026 03:53:54.636,07 Aug 2026 03:56:36.972,499.00,501.36,18.9 Lots,-0.76,23.6,43.84,openapi_cbot-t,45 458.73
DID313108087,353587205,XAGUSD,Sell,Buy,07 Aug 2026 01:50:42.006,07 Aug 2026 03:51:39.623,61.405,61.641,0.03 Lots,0.00,-23.6,-35.40,openapi_cbot-t,45 414.89
DID313107225,353586072,USDJPY,Buy,Sell,07 Aug 2026 01:39:13.068,07 Aug 2026 03:40:59.690,158.444,158.458,0.09 Lots,-0.64,1.4,0.16,openapi_cbot-t,45 450.29
DID313107224,353586071,DOW.US,Buy,Sell,07 Aug 2026 01:39:36.031,07 Aug 2026 03:40:59.484,30.94,30.44,250 Lots,-10.00,-5.0,-135.00,openapi_cbot-t,45 450.13
DID313103299,353581514,JPM.US,Buy,Sell,07 Aug 2026 02:25:11.398,07 Aug 2026 02:59:31.955,356.24,356.45,26.3 Lots,-1.06,2.1,4.46,openapi_cbot-t,45 585.13
DID313103281,353581497,US2000,Buy,Sell,07 Aug 2026 00:58:25.138,07 Aug 2026 02:59:02.493,3010.4,3006.7,3.1 Lots,0.00,-3.7,-11.47,openapi_cbot-t,45 580.67
DID313102517,353580979,MSFT.US,Buy,Sell,07 Aug 2026 00:58:48.097,07 Aug 2026 02:52:52.129,495.17,497.05,18.8 Lots,-0.76,18.8,34.58,openapi_cbot-t,45 592.14
DID313102494,353580978,TSLA.US,Sell,Buy,06 Aug 2026 22:35:26.189,07 Aug 2026 02:52:47.774,321.86,318.78,146.2 Lots,-5.84,30.8,444.46,openapi_cbot-t,45 557.56
DID313101699,353580444,XAUUSD,Buy,Sell,07 Aug 2026 00:47:16.385,07 Aug 2026 02:48:09.725,4232.79,4243.52,0.02 Lots,-0.14,107.3,21.32,openapi_cbot-t,45 113.10
DID313101698,353580443,FRA40,Buy,Sell,07 Aug 2026 00:47:27.671,07 Aug 2026 02:48:09.499,8703.3,8707.2,0.9 Lots,0.00,3.9,4.04,openapi_cbot-t,45 091.78
DID313101152,353579618,USDCAD,Sell,Buy,07 Aug 2026 02:13:33.630,07 Aug 2026 02:45:00.800,1.40136,1.40147,0.09 Lots,-0.64,-1.1,-1.35,openapi_cbot-t,45 087.74
DID313099577,353578000,NAS100,Buy,Sell,07 Aug 2026 00:25:16.732,07 Aug 2026 02:28:00.734,29353.7,29426.8,0.3 Lots,0.00,73.1,21.93,openapi_cbot-t,45 089.09
DID313099389,353577696,JPM.US,Sell,Buy,07 Aug 2026 01:50:05.644,07 Aug 2026 02:23:31.673,355.87,356.32,26.4 Lots,-1.06,-4.5,-12.94,openapi_cbot-t,45 067.16
DID313099388,353577695,XPDUSD,Sell,Buy,07 Aug 2026 01:50:55.925,07 Aug 2026 02:23:31.455,1370.84,1377.34,0.06 Lots,0.00,-65.0,-39.00,openapi_cbot-t,45 080.10
DID313097582,353575454,JPYX,Sell,Buy,07 Aug 2026 00:02:29.754,07 Aug 2026 02:04:41.582,680.1,681.3,13 Lots,0.00,-1.2,-9.85,openapi_cbot-t,45 119.10
DID313097310,353575147,EURUSD,Buy,Sell,07 Aug 2026 01:32:32.323,07 Aug 2026 02:02:49.549,1.15197,1.15233,0.08 Lots,-0.56,3.6,2.32,openapi_cbot-t,45 128.95
DID313096034,353573593,XAGUSD,Sell,Buy,06 Aug 2026 23:47:31.363,07 Aug 2026 01:48:27.466,61.251,61.371,0.03 Lots,0.00,-12.0,-18.00,openapi_cbot-t,45 126.63
DID313096032,353573590,JPM.US,Sell,Buy,06 Aug 2026 23:46:43.658,07 Aug 2026 01:48:27.233,356.40,355.87,26.1 Lots,-1.04,5.3,12.79,openapi_cbot-t,45 144.63
DID313095633,353573012,AUDUSD,Sell,Buy,07 Aug 2026 00:58:33.753,07 Aug 2026 01:44:04.145,0.70302,0.70312,0.13 Lots,-0.92,-1.0,-2.22,openapi_cbot-t,45 131.84
DID313095196,353572451,USDJPY,Buy,Sell,07 Aug 2026 01:04:49.395,07 Aug 2026 01:38:32.209,158.492,158.443,0.09 Lots,-0.64,-4.9,-3.42,openapi_cbot-t,45 134.06
DID313095105,353572374,DOW.US,Buy,Sell,06 Aug 2026 23:35:23.058,07 Aug 2026 01:37:56.856,30.33,30.86,250 Lots,-10.00,5.3,122.50,openapi_cbot-t,45 137.48
DID313094413,353571610,USDCAD,Sell,Buy,07 Aug 2026 00:58:55.783,07 Aug 2026 01:31:35.639,1.40223,1.40210,0.09 Lots,-0.64,1.3,0.19,openapi_cbot-t,45 014.98
DID313091557,353568025,US30,Sell,Buy,07 Aug 2026 00:32:18.136,07 Aug 2026 01:03:59.793,54076.0,54035.0,0.1 Lots,0.00,41.0,4.10,openapi_cbot-t,45 014.79
DID313090482,353566837,AVGO.US,Sell,Buy,07 Aug 2026 00:43:26.209,07 Aug 2026 00:57:02.794,423.04,424.00,22.2 Lots,-0.88,-9.6,-22.19,openapi_cbot-t,45 010.69
DID313090461,353566781,MSFT.US,Sell,Buy,06 Aug 2026 22:52:47.460,07 Aug 2026 00:56:41.109,496.75,495.34,19.3 Lots,-0.78,14.1,26.43,openapi_cbot-t,45 032.88
DID313090359,353566643,AAPL.US,Buy,Sell,06 Aug 2026 22:53:09.095,07 Aug 2026 00:55:49.407,313.24,311.59,30.2 Lots,-1.20,-16.5,-51.03,openapi_cbot-t,45 006.45
DID313090357,353566636,US2000,Sell,Buy,06 Aug 2026 22:52:33.485,07 Aug 2026 00:55:46.027,3019.9,3009.8,3.1 Lots,0.00,10.1,31.31,openapi_cbot-t,45 057.48
DID313089383,353565227,VIX,Sell,Buy,06 Aug 2026 22:42:07.346,07 Aug 2026 00:45:58.545,16.72,16.79,0.1 Lots,0.00,-0.7,-0.01,openapi_cbot-t,45 026.17
DID313089025,353564588,AVGO.US,Sell,Buy,06 Aug 2026 22:41:32.627,07 Aug 2026 00:41:47.562,423.45,422.96,0.8 Lots,-0.04,4.9,0.35,openapi_cbot-t,45 026.18
DID313088668,353564102,LLY.US,Buy,Sell,06 Aug 2026 22:37:16.369,07 Aug 2026 00:38:34.238,1177.01,1174.00,0.3 Lots,-0.04,-30.1,-0.94,openapi_cbot-t,45 025.83
DID313088059,353563080,Copper,Sell,Buy,06 Aug 2026 22:29:44.944,07 Aug 2026 00:30:52.981,6.7951,6.7484,0.05 Lots,0.00,46.7,4.67,openapi_cbot-t,45 026.77
DID313087038,353561669,NAS100,Buy,Sell,06 Aug 2026 23:51:40.484,07 Aug 2026 00:21:47.531,29445.9,29351.8,0.3 Lots,0.00,-94.1,-28.23,openapi_cbot-t,45 022.10
DID313082710,353556115,FRA40,Buy,Sell,06 Aug 2026 22:00:18.144,07 Aug 2026 00:00:33.909,8737.3,8709.2,0.9 Lots,0.00,-28.1,-29.14,openapi_cbot-t,45 050.33
DID313078225,353551704,AUDUSD,Buy,Sell,06 Aug 2026 23:17:05.120,06 Aug 2026 23:47:31.601,0.70354,0.70330,0.13 Lots,-0.92,-2.4,-4.04,openapi_cbot-t,45 079.47
DID313078206,353551672,NAS100,Buy,Sell,06 Aug 2026 23:16:55.101,06 Aug 2026 23:47:16.743,29526.7,29456.5,0.3 Lots,0.00,-70.2,-21.06,openapi_cbot-t,45 083.51
DID313077844,353551127,JPM.US,Sell,Buy,06 Aug 2026 23:12:44.848,06 Aug 2026 23:44:56.174,356.88,356.36,26.2 Lots,-1.04,5.2,12.58,openapi_cbot-t,45 104.57
DID313075721,353548487,DOW.US,Buy,Sell,06 Aug 2026 21:32:43.412,06 Aug 2026 23:33:37.806,30.12,30.26,250 Lots,-10.00,1.4,25.00,openapi_cbot-t,45 091.99
DID313070315,353542459,AUDUSD,Sell,Buy,06 Aug 2026 22:29:15.404,06 Aug 2026 23:15:13.971,0.70399,0.70380,0.13 Lots,-0.92,1.9,1.55,openapi_cbot-t,45 066.99
DID313069852,353542142,NAS100,Buy,Sell,06 Aug 2026 22:41:21.337,06 Aug 2026 23:13:44.186,29444.6,29537.6,0.3 Lots,0.00,93.0,27.90,openapi_cbot-t,45 065.44
DID313068553,353533528,US30,Buy,Sell,06 Aug 2026 22:36:44.296,06 Aug 2026 23:09:01.158,54271.0,54197.0,2.3 Lots,0.00,-74.0,-170.20,openapi_cbot-t,45 037.54
DID313063569,353393015,US2000,Buy,Sell,06 Aug 2026 08:37:29.647,06 Aug 2026 22:45:20.085,3019.5,3025.2,19 Lots,0.00,5.7,108.30,openapi_cbot-t,45 207.74
DID313062912,353534289,AVGO.US,Sell,Buy,06 Aug 2026 22:09:41.268,06 Aug 2026 22:40:23.840,423.03,423.70,22.7 Lots,-0.90,-6.7,-16.11,openapi_cbot-t,45 099.44
DID313062047,353533194,US500,Buy,Sell,06 Aug 2026 22:05:16.713,06 Aug 2026 22:35:28.813,7736.0,7732.5,1.2 Lots,0.00,-3.5,-4.20,openapi_cbot-t,45 115.55
DID313062046,353533193,XAUUSD,Buy,Sell,06 Aug 2026 22:05:02.361,06 Aug 2026 22:35:28.565,4267.57,4274.33,0.02 Lots,-0.14,67.6,13.38,openapi_cbot-t,45 119.75
DID313061501,353532591,USDJPY,Sell,Buy,06 Aug 2026 21:59:30.667,06 Aug 2026 22:33:10.244,157.860,158.180,0.09 Lots,-0.64,-32.0,-18.85,openapi_cbot-t,45 106.37
DID313059253,353529792,Copper,Sell,Buy,06 Aug 2026 21:51:59.809,06 Aug 2026 22:22:04.490,6.8007,6.7930,0.11 Lots,0.00,7.7,1.69,openapi_cbot-t,45 125.22
DID313059251,353529788,AUDUSD,Sell,Buy,06 Aug 2026 21:51:44.062,06 Aug 2026 22:22:02.988,0.70399,0.70388,0.27 Lots,-1.90,1.1,1.07,openapi_cbot-t,45 123.53
DID313059248,353529782,MSFT.US,Sell,Buy,06 Aug 2026 21:48:50.678,06 Aug 2026 22:22:00.203,492.75,498.38,39.1 Lots,-1.56,-56.3,-221.69,openapi_cbot-t,45 122.46
DID313059234,353529747,JPM.US,Sell,Buy,06 Aug 2026 21:48:36.716,06 Aug 2026 22:21:52.043,360.66,360.10,53 Lots,-2.12,5.6,27.56,openapi_cbot-t,45 344.15
DID313059225,353529730,TSLA.US,Sell,Buy,06 Aug 2026 21:48:20.376,06 Aug 2026 22:21:47.866,318.60,321.26,59.2 Lots,-2.36,-26.6,-159.83,openapi_cbot-t,45 316.59
DID313059221,353529722,US30,Sell,Buy,06 Aug 2026 21:48:12.837,06 Aug 2026 22:21:46.629,54434.0,54345.0,0.3 Lots,0.00,89.0,26.70,openapi_cbot-t,45 476.42
DID313053806,353523359,US500,Sell,Buy,06 Aug 2026 21:48:59.873,06 Aug 2026 22:03:47.918,7738.6,7733.5,2.4 Lots,0.00,5.1,12.24,openapi_cbot-t,45 449.72
DID313053765,353523298,JPYX,Sell,Buy,06 Aug 2026 21:29:10.830,06 Aug 2026 22:03:15.248,682.0,682.8,28 Lots,0.00,-0.8,-14.19,openapi_cbot-t,45 437.48
DID313052699,353521809,FRA40,Buy,Sell,06 Aug 2026 21:22:29.040,06 Aug 2026 21:57:26.843,8734.8,8738.0,1.9 Lots,0.00,3.2,7.02,openapi_cbot-t,45 451.67
DID313052696,353521806,NAS100,Sell,Buy,06 Aug 2026 21:22:11.662,06 Aug 2026 21:57:25.402,29230.1,29398.4,0.6 Lots,0.00,-168.3,-100.98,openapi_cbot-t,45 444.65
DID313051042,353519723,AUDUSD,Sell,Buy,06 Aug 2026 21:19:04.571,06 Aug 2026 21:50:54.110,0.70345,0.70402,0.27 Lots,-1.90,-5.7,-17.29,openapi_cbot-t,45 545.63
DID313051041,353519722,Copper,Sell,Buy,06 Aug 2026 21:19:14.964,06 Aug 2026 21:50:53.886,6.8067,6.8004,0.11 Lots,0.00,6.3,1.39,openapi_cbot-t,45 562.92
DID313049932,353518365,US30,Buy,Sell,06 Aug 2026 21:32:34.069,06 Aug 2026 21:47:28.213,54490.0,54427.0,0.3 Lots,0.00,-63.0,-18.90,openapi_cbot-t,45 561.53
DID313049883,353508649,VIX,Buy,Sell,06 Aug 2026 21:29:27.633,06 Aug 2026 21:47:17.597,17.24,16.82,100 Lots,0.00,-4.2,-42.00,openapi_cbot-t,45 580.43
DID313049710,353518153,XAUUSD,Sell,Buy,06 Aug 2026 21:15:52.501,06 Aug 2026 21:46:54.416,4237.55,4268.07,0.04 Lots,-0.28,-305.2,-122.36,openapi_cbot-t,45 622.43
DID313048387,353516614,US500,Sell,Buy,06 Aug 2026 21:12:26.432,06 Aug 2026 21:43:11.879,7723.6,7729.2,2.4 Lots,0.00,-5.6,-13.44,openapi_cbot-t,45 744.79
DID313048384,353516612,USDCHF,Sell,Buy,06 Aug 2026 21:12:50.030,06 Aug 2026 21:43:11.661,0.81002,0.80941,0.19 Lots,-1.34,6.1,12.98,openapi_cbot-t,45 758.23
DID313048382,353516610,AUS200,Sell,Buy,06 Aug 2026 21:12:42.776,06 Aug 2026 21:43:11.377,9252.2,9258.8,2.9 Lots,0.00,-6.6,-13.47,openapi_cbot-t,45 745.25
DID313043801,353510445,LLY.US,Buy,Sell,06 Aug 2026 21:32:25.709,06 Aug 2026 21:34:56.148,1222.00,1210.00,42.8 Lots,-1.72,-120.0,-515.32,openapi_cbot-t,45 758.72
DID313038178,353505192,HK50,Sell,Buy,06 Aug 2026 20:44:47.349,06 Aug 2026 21:15:04.197,25590.3,25575.3,5.8 Lots,0.00,15.0,11.09,openapi_cbot-t,46 274.04
DID313038177,353505191,EURUSD,Sell,Buy,06 Aug 2026 20:44:15.273,06 Aug 2026 21:15:03.907,1.15427,1.15384,0.16 Lots,-1.12,4.3,5.76,openapi_cbot-t,46 262.95
DID313038176,353505188,SGDJPY,Sell,Buy,06 Aug 2026 20:44:41.856,06 Aug 2026 21:15:03.718,123.133,123.145,0.24 Lots,-1.68,-1.2,-3.50,openapi_cbot-t,46 257.19
DID313037217,353504057,XAGUSD,Sell,Buy,06 Aug 2026 20:37:35.582,06 Aug 2026 21:11:05.341,61.737,61.194,0.06 Lots,0.00,54.3,162.90,openapi_cbot-t,46 260.69
DID313037216,353504056,JPYX,Buy,Sell,06 Aug 2026 20:37:15.829,06 Aug 2026 21:11:05.091,682.8,682.0,28 Lots,0.00,-0.8,-14.18,openapi_cbot-t,46 097.79
DID313037214,353504054,NZDUSD,Buy,Sell,06 Aug 2026 20:37:28.179,06 Aug 2026 21:11:04.826,0.58824,0.58764,0.32 Lots,-2.24,-6.0,-21.44,openapi_cbot-t,46 111.97
DID313034796,353501686,US500,Sell,Buy,06 Aug 2026 20:34:35.729,06 Aug 2026 21:07:12.265,7733.1,7724.6,2.4 Lots,0.00,8.5,20.40,openapi_cbot-t,46 133.41
DID313034795,353501685,FRA40,Buy,Sell,06 Aug 2026 20:34:27.287,06 Aug 2026 21:07:11.990,8725.7,8725.7,1.9 Lots,0.00,0.0,0.00,openapi_cbot-t,46 113.01
DID313034792,353501683,XPTUSD,Sell,Buy,06 Aug 2026 20:34:12.822,06 Aug 2026 21:07:11.850,1739.93,1731.37,0.22 Lots,0.00,85.6,188.32,openapi_cbot-t,46 113.01
DID313034733,353501622,NAS100,Sell,Buy,06 Aug 2026 20:34:01.869,06 Aug 2026 21:06:59.457,29311.9,29243.1,0.6 Lots,0.00,68.8,41.28,openapi_cbot-t,45 924.69
DID313034731,353501620,GER40,Sell,Buy,06 Aug 2026 20:34:04.937,06 Aug 2026 21:06:59.252,26175.6,26143.5,0.6 Lots,0.00,32.1,22.23,openapi_cbot-t,45 883.41
